,TEAM,YEAR,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
143,Portland Trail Blazers,2017,28,13,21,20,0.6829268292682927,0.5121951219512195
144,Sacramento Kings,2012,20,21,8,33,0.4878048780487805,0.1951219512195122
145,Sacramento Kings,2013,17,24,11,30,0.4146341463414634,0.2682926829268293
146,Sacramento Kings,2014,18,23,11,30,0.43902439024390244,0.2682926829268293
147,Sacramento Kings,2015,18,23,15,26,0.43902439024390244,0.36585365853658536
148,Sacramento Kings,2016,17,24,15,26,0.4146341463414634,0.36585365853658536
149,Sacramento Kings,2017,14,27,13,28,0.34146341463414637,0.3170731707317073
150,San Antonio Spurs,2012,35,6,23,18,0.8536585365853658,0.5609756097560976
151,San Antonio Spurs,2013,32,9,30,11,0.7804878048780488,0.7317073170731707
152,San Antonio Spurs,2014,33,8,22,19,0.8048780487804879,0.5365853658536586
153,San Antonio Spurs,2015,40,1,27,14,0.975609756097561,0.6585365853658537
154,San Antonio Spurs,2016,31,10,30,11,0.7560975609756098,0.7317073170731707
155,San Antonio Spurs,2017,33,8,14,27,0.8048780487804879,0.34146341463414637
156,Toronto Raptors,2012,21,20,13,28,0.5121951219512195,0.3170731707317073
157,Toronto Raptors,2013,26,15,22,19,0.6341463414634146,0.5365853658536586
158,Toronto Raptors,2014,27,14,22,19,0.6585365853658537,0.5365853658536586
159,Toronto Raptors,2015,32,9,24,17,0.7804878048780488,0.5853658536585366
160,Toronto Raptors,2016,28,13,23,18,0.6829268292682927,0.5609756097560976
161,Toronto Raptors,2017,34,7,25,16,0.8292682926829268,0.6097560975609756
162,Utah Jazz,2012,30,11,13,28,0.7317073170731707,0.3170731707317073
163,Utah Jazz,2013,16,25,9,32,0.3902439024390244,0.21951219512195122
164,Utah Jazz,2014,21,20,17,24,0.5121951219512195,0.4146341463414634
165,Utah Jazz,2015,24,17,16,25,0.5853658536585366,0.3902439024390244
166,Utah Jazz,2016,29,12,22,19,0.7073170731707317,0.5365853658536586
167,Utah Jazz,2017,28,13,20,21,0.6829268292682927,0.4878048780487805
168,Washington Wizards,2012,22,19,7,34,0.5365853658536586,0.17073170731707318
169,Washington Wizards,2013,22,19,22,19,0.5365853658536586,0.5365853658536586
170,Washington Wizards,2014,29,12,17,24,0.7073170731707317,0.4146341463414634
171,Washington Wizards,2015,22,19,19,22,0.5365853658536586,0.4634146341463415
172,Washington Wizards,2016,30,11,19,22,0.7317073170731707,0.4634146341463415
173,Washington Wizards,2017,23,18,20,21,0.5609756097560976,0.4878048780487805
